# PASR_MODULAR AI Training Data Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Format: CSV dengan 34 feature dimensions + label + metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Generated for PASR_MODULAR v2.15.0 AI Training System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# INSTRUCTIONS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 1. Data ini akan digunakan untuk offline training/pre-training AI model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2. Setiap baris merepresentasikan satu kondisi market dan keputusan trading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 3. Feature values harus dalam range 0.0 - 1.0 (normalized),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 4. Label: 1.0 untuk profitable trade, -1.0 untuk unprofitable trade, 0.0 untuk no trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 5. Weight: Importance factor (0.1 - 2.0) untuk training sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FEATURE DIMENSIONS (34 total):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [0-3] Price Returns (1,2,3,5 bars) - Normalized price changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [4-7] ATR Ratios (3,5,10,20 periods) - Volatility ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [8-11] Technical Indicators (RSI, MACD, CCI, Stochastic) - Normalized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [12-15] Volume Analysis (ratio, OBV, spike, MFI) - Volume patterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [16-18] Structure Features (SR distance, zone strength, pattern score) - S/R quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [19-21] Market Regime (trend, range, volatile) - One-hot encoded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [22-23] Time Features (hour, day_of_week) - Temporal patterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [24-25] Statistical Features (Z-score, skewness) - Price distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [26-33] Advanced Pattern Features (8 dimensions) - Pattern recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# METADATA COLUMNS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [34] timestamp - Unix timestamp atau datetime string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [35] symbol - Currency pair (e.g., EURUSD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [36] timeframe - Timeframe (e.g., H1, H4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [37] label - Training label (1.0=good, -1.0=bad, 0.0=no_trade),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [38] weight - Sample importance (0.1-2.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [39] regime - Market regime (TREND_UP, RANGE, VOLATILE, etc.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [40] trade_type - Trade type (BUY, SELL, NO_TRADE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [41] profit_pips - Actual profit/loss in pips (if available),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [42] duration_bars - Trade duration in bars (if available),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [43] notes - Additional notes or comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#HEADER_ROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,timestamp,symbol,timeframe,label,weight,regime,trade_type,profit_pips,duration_bars,notes,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#EXAMPLE_DATA_ROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.3,0.7,0.2,0.6,0.5,0.4,0.8,0.6,0.5,0.7,0.4,0.5,0.3,0.2,0.6,0.7,0.8,0.6,1.0,0.0,0.0,0.5,0.3,0.4,0.5,0.7,0.3,0.6,0.8,0.4,0.5,0.7,0.6,1714521600,EURUSD,H1,1.0,1.2,TREND_UP,BUY,45.5,12,Good trend following setup with strong momentum,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#EXAMPLE_DATA_ROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,0.2,0.4,0.1,0.4,0.3,0.5,0.6,0.4,0.3,0.5,0.3,0.3,0.4,0.1,0.4,0.5,0.6,0.4,0.0,1.0,0.0,0.7,0.5,0.6,0.7,0.4,0.3,0.5,0.7,0.6,0.4,0.5,0.3,1714525200,EURUSD,H1,-1.0,0.8,RANGE,SELL,-32.0,8,Range trading signal failed due to lack of momentum,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#EXAMPLE_DATA_ROW  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,0.5,0.8,0.4,0.7,0.6,0.5,0.9,0.7,0.6,0.8,0.5,0.6,0.5,0.3,0.7,0.8,0.9,0.7,1.0,0.0,0.0,0.3,0.2,0.3,0.4,0.8,0.5,0.7,0.9,0.5,0.6,0.8,0.7,1714528800,GBPUSD,H4,1.0,1.5,TREND_UP,BUY,78.0,24,Strong breakout with high volume and clear trend,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#EXAMPLE_DATA_ROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.1,0.3,0.0,0.3,0.2,0.4,0.5,0.3,0.2,0.4,0.2,0.2,0.3,0.0,0.3,0.4,0.5,0.3,0.0,0.0,1.0,0.9,0.7,0.8,0.9,0.3,0.2,0.4,0.6,0.3,0.4,0.2,0.1,1714532400,USDJPY,M15,-1.0,0.5,VOLATILE,BUY,-25.0,6,Volatile conditions caused false breakout,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#EXAMPLE_DATA_ROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,0.3,0.5,0.2,0.5,0.4,0.3,0.7,0.5,0.4,0.6,0.3,0.4,0.3,0.1,0.5,0.6,0.7,0.5,0.0,1.0,0.0,0.4,0.6,0.5,0.6,0.6,0.4,0.5,0.7,0.4,0.5,0.6,0.4,1714536000,EURUSD,H1,0.0,0.3,RANGE,NO_TRADE,0.0,0,No trade signal due to conflicting indicators,
0.77,0.8,0.79,0.79,0.56,0.55,0.62,0.39,0.65,0.33,0.69,0.32,0.51,0.46,0.61,0.61,0.49,0.61,0.69,1.0,0.0,0.0,0.32,0.7,0.65,0.61,0.69,0.57,0.51,0.52,0.38,0.55,0.65,0.68,1714540000,AUDUSD,H1,-1.0,1.0,TREND_UP,BUY,-37.8,12,Trend exhaustion / Bull trap,
0.78,0.76,0.8,0.75,0.42,0.7,0.37,0.64,0.43,0.4,0.43,0.54,0.38,0.43,0.45,0.52,0.52,0.34,0.36,1.0,0.0,0.0,0.31,0.6,0.48,0.59,0.36,0.63,0.62,0.58,0.38,0.61,0.65,0.5,1714543600,EURUSD,H1,-1.0,1.0,TREND_UP,BUY,-33.2,6,Trend exhaustion / Bull trap,
0.71,0.88,0.79,0.86,0.52,0.53,0.48,0.49,0.77,0.61,0.65,0.67,0.66,0.7,0.45,0.66,0.33,0.32,0.45,1.0,0.0,0.0,0.68,0.32,0.32,0.48,0.38,0.62,0.7,0.66,0.6,0.33,0.61,0.41,1714547200,USDCHF,M15,1.0,1.5,TREND_UP,BUY,46.2,10,Strong trend following success,
0.55,0.54,0.3,0.7,0.65,0.42,0.54,0.58,0.2,0.49,0.59,0.55,0.63,0.53,0.56,0.46,0.32,0.43,0.53,0.0,1.0,0.0,0.34,0.46,0.44,0.65,0.37,0.55,0.41,0.4,0.37,0.63,0.53,0.5,1714550800,USDJPY,M15,1.0,1.2,RANGE,BUY,28.1,5,Successful mean reversion in range,
0.47,0.37,0.62,0.52,0.41,0.53,0.32,0.31,0.59,0.47,0.52,0.44,0.12,0.14,0.23,0.25,0.61,0.69,0.44,0.32,0.42,0.42,0.56,0.32,0.47,0.65,0.38,0.31,0.46,0.41,0.57,0.33,0.41,0.58,1714554400,XAUUSD,M15,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
